공고ID,사업명,주관부처,분야,사업설명,주요키워드,공고링크,마감일,키워드리스트,source
R25BK00583981,2025년 철원‧동송권역 도시계획시설 유지보수 연간단가공사,강원특별자치도 철원군,조달청 또는 나라장터 자체 공고건,2025년 철원‧동송권역 도시계획시설 유지보수 연간단가공사,"2025년,철원,동송권역,도시계획시설,유지보수,연간단가공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-21 10:00:00,"['2025년', '철원', '동송권역', '도시계획시설', '유지보수', '연간단가공사']",bid_list_converted.csv
R25BK00583988,장산중 우천로 포장 및 배수로 보강공사,전라남도교육청 전라남도신안교육지원청,조달청 또는 나라장터 자체 공고건,장산중 우천로 포장 및 배수로 보강공사,"장산중,우천로,포장,배수로,보강공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-21 10:00:00,"['장산중', '우천로', '포장', '배수로', '보강공사']",bid_list_converted.csv
R25BK00583961,원삼면 한발대비용수개발사업 토목기계공사 ,한국농어촌공사 경기지역본부 안성지사,조달청 또는 나라장터 자체 공고건,원삼면 한발대비용수개발사업 토목기계공사 ,"원삼면,한발대비용수개발사업,토목기계공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-23 10:00:00,"['원삼면', '한발대비용수개발사업', '토목기계공사']",bid_list_converted.csv
R25BK00583924,한국국제조리고등학교 대량조리실습실 구축 건축공사 소액수의 견적 제출 건,경상북도교육청 한국국제조리고등학교,조달청 또는 나라장터 자체 공고건,한국국제조리고등학교 대량조리실습실 구축 건축공사 소액수의 견적 제출 건,"한국국제조리고등학교,대량조리실습실,구축,건축공사,소액수의,견적,제출",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-23 10:00:00,"['한국국제조리고등학교', '대량조리실습실', '구축', '건축공사', '소액수의', '견적', '제출']",bid_list_converted.csv
R25BK00583993,"2025년 도로유지보수 연간단가공사(철원,동송권역)",강원특별자치도 철원군,조달청 또는 나라장터 자체 공고건,"2025년 도로유지보수 연간단가공사(철원,동송권역)","2025년,도로유지보수,연간단가공사,철원,동송권역",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-21 10:00:00,"['2025년', '도로유지보수', '연간단가공사', '철원', '동송권역']",bid_list_converted.csv
R25BK00583991,2025년도 상수도 긴급보수 단가계약(4권역),강원특별자치도 강릉시 상하수도사업소,조달청 또는 나라장터 자체 공고건,2025년도 상수도 긴급보수 단가계약(4권역),"2025년도,상수도,긴급보수,단가계약,4권역",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-21 10:00:00,"['2025년도', '상수도', '긴급보수', '단가계약', '4권역']",bid_list_converted.csv
R25BK00584015,"2025년 도로유지보수 연간단가공사(갈말,김화권역)",강원특별자치도 철원군,조달청 또는 나라장터 자체 공고건,"2025년 도로유지보수 연간단가공사(갈말,김화권역)","2025년,도로유지보수,연간단가공사,갈말,김화권역",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-21 10:00:00,"['2025년', '도로유지보수', '연간단가공사', '갈말', '김화권역']",bid_list_converted.csv
R25BK00583862,금산군보건소 이전 신축 서측 도로 옹벽공사,충청남도 금산군 보건소,조달청 또는 나라장터 자체 공고건,금산군보건소 이전 신축 서측 도로 옹벽공사,"금산군보건소,이전,신축,서측,도로,옹벽공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-23 11:00:00,"['금산군보건소', '이전', '신축', '서측', '도로', '옹벽공사']",bid_list_converted.csv
R25BK00584005,한국국제조리고등학교 대량조리실습실 구축 기계설비공사 소액수의 견적 제출 건,경상북도교육청 한국국제조리고등학교,조달청 또는 나라장터 자체 공고건,한국국제조리고등학교 대량조리실습실 구축 기계설비공사 소액수의 견적 제출 건,"한국국제조리고등학교,대량조리실습실,구축,기계설비공사,소액수의,견적,제출",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-23 10:00:00,"['한국국제조리고등학교', '대량조리실습실', '구축', '기계설비공사', '소액수의', '견적', '제출']",bid_list_converted.csv
R25BK00584023,2025년 서귀포시 관내 우수관로 및 집수정 준설공사,제주특별자치도 서귀포시,조달청 또는 나라장터 자체 공고건,2025년 서귀포시 관내 우수관로 및 집수정 준설공사,"2025년,서귀포시,관내,우수관로,집수정,준설공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-21 12:00:00,"['2025년', '서귀포시', '관내', '우수관로', '집수정', '준설공사']",bid_list_converted.csv
